,Attraction_name,Company,Rating,Reviews,Ticket_price,Free_cancellation,Overview,Location,Meeting_point,Attraction_page
46,NYC: Radio City Music Hall Tour Experience,Madison Square Garden Entertainment,9.4,115,44.0,1h,OverviewGo behind the scenes at New York's legendary Radio City Music HallMarvel at the extravagant Art Deco interiorLearn the secrets of the Great StageMeet one of the famous precision dancers from the Rockettes,No Location,No Meeting Point,https://www.expedia.com/things-to-do/new-york-radio-city-stage-door-tour-ticket.a4523558.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
47,The Big Apple Helicopter Tour of New York City,Charm Aviation NYC,9.0,189,319.0,Free cancellation available,"Activity location6 East River Piers6 East River Piers10004, New York, New York, United States",6 East River Piers,6 East River Piers,https://www.expedia.com/things-to-do/the-big-apple-helicopter-tour-of-new-york-city.a920794.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
48,Met Express: Highlights of the Metropolitan Museum of Art,Walks,9.2,5,69.0,Free cancellation available,"OverviewPerfect as a short trip, or traveling with childrenProfessional English speaking guidePre-reserved ticket to the Met MuseumAn itinerary that covers the perfect cross-section of METSmall group of 15 people or fewerShow more",1000 5th Avenue,1000 5th Avenue,https://www.expedia.com/things-to-do/met-express-highlights-of-the-metropolitan-museum-of-art.a564390.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
49,"Washington, D.C. Day Trip from New York",Empire Vacations,9.0,793,142.0,Free cancellation available,"OverviewEasy day trip from Manhattan to D.C. by comfortable busSights include Capitol, Senate, White House & National MallIn-depth commentary from a professional tour guideArlington National Cemetery & the Kennedy family gravsiteAn Eco Positive Tour by an Earth Friendly CompanyShow more","Washington, District of Columbia, United States of America",330 West 42nd Street,https://www.expedia.com/things-to-do/washington-d-c-day-trip-from-new-york.a184049.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
50,Big City Helicopter Tour,Zip Aviation,9.4,24,279.0,Free cancellation available,OverviewSpectacular views of the Big Apple as you fly by ManhattanAerial perspective of the breathtaking Central ParkMagnificent landmarks like the Empire State BuildingComfortable ride in a state-of-the-art helicopterInteresting & insightful commentary provided by pilotShow more,6 East River Piers,6 East River Piers,https://www.expedia.com/things-to-do/big-city-helicopter-tour.a378866.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
51,Official Exclusive VIP Horse Carriage Ride in Central Park,NYC HORSE AND CARRIAGE RIDE,10.0,5,195.0,Free cancellation available,"OverviewExplore Central Park's gems on a guided horse carriage tourLearn park history, snap photos at Cherry Hill, and glide by Bethesda FountainImmerse yourself in Central Park's beauty during an enchanting Horse CarriageUnveil New York's oasis in a memorable, guided journeyImmerse in Central Park's allure during an enchanting horse-drawn carriage rideShow more",No Location,No Meeting Point,https://www.expedia.com/things-to-do/official-exclusive-vip-horse-carriage-ride-in-central-park.a48273982.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
52,Early Access to Empire State in Small Group + Optional Top of the Rock,City Wonders,9.0,2,79.0,Free cancellation available,"OverviewEarly access to the Empire State Building views360-Degree Views: Panoramic sights from the 86th floor!Guided Midtown Tour: See Macy’s, Bryant Park, & RockefellerOptional Top of the Rock upgrade for more city viewsComplete NYC Experience: Top observatories & Midtown tourShow more","Empire State Building, Manhattan",2 West 34th Street,https://www.expedia.com/things-to-do/null.a49218966.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
53,"SoHo, Little Italy & Chinatown Walking Tour",ExperienceFirst,9.6,90,39.0,Free cancellation available,OverviewLearning the history that shaped 3 unique neighborhoodsStories of the Tong Wars in the Chinatown districtPossible celebrity sightings in the district of SoHoAuthentic Italian bakeries & restaurants in Little ItalySmall group ensuring a comfortable & personalized experienceShow more,"6th Avenue
Spring St",Southwest corner of Spring Street and 6th Avenue,https://www.expedia.com/things-to-do/soho-little-italy-chinatown-walking-tour.a269094.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
54,Central Park Electric Scooter Rental,Cycle Park NYC,10.0,32,25.0,Free cancellation available,"OverviewBrand New ScootersPrime LocationHelmets, Map Include with the Rentals",No Location,No Meeting Point,https://www.expedia.com/things-to-do/central-park-electric-scooter-rental.a47774895.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
55,American Dream: TiLT Interactive Museum Entry Ticket,American Dream,10.0,1,16.0,Free cancellation available,OverviewBecome a part of the street art as you delve into a world of imaginationImmerse yourself in this fun and fascinating 3D experienceBring your phone or camera to this snap-worthy experienceEnjoy family-friendly fun for all agesLocated just 4 miles outside New York CityShow more,No Location,No Meeting Point,https://www.expedia.com/things-to-do/american-dream-tilt-interactive-museum-entry-ticket.a50090675.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
